comment,"NaturalPoint Trackable Export Data"
comment,"== "
comment,"Format Information:"
comment,"== "
comment,"== Data is formatted in rows."
comment,"== First entry of each row identifies row type."
comment,"== "
comment,"== Types:"
comment,"== "
comment,"== comment: Comment, you can ignore this information"
comment,"== info: reports number of trackable definitions and"
comment,"==       total number of exported frames"
comment,"== trackable: Details rigid body definition in the following format:"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Marker Count (integer)"
comment,"==    -- X,Y,Z (float) 3D position of each marker in rigid body"
comment,"== "
comment,"== frame: Details frame of exported data in the following format:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Trackable Count (integer) number of trackables tracked in current frame"
comment,"==    -- Trackable ID, Position, Quaternion Orientation, and Eulers Orientation >for each tracked trackable< (ID, x,y,z, qx, qy, qz, qw, yaw, pitch, roll)"
comment,"==    -- Marker Count (integer) Count of all visibile markers in frame"
comment,"==    -- Marker Detail >for each tracked marker< (x,y,z,id)"
comment,"== trackable: Extended information for current frame:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Frames Since Last Tracked (integer). 0=currently tracked"
comment,"==    -- Marker Count (integer)"
comment,"==    -- Trackable Marker Location >for each marker in trackable< (x,y,z)"
comment,"==    -- Point Cloud Marker corresponding to each trackable marker (x,y,z). (NAN,NAN,NAN) used for missing Point Cloud Markers."
comment,"==    -- Marker Tracked (integer) for each marker. 1=track, 0=untracked."
comment,"==    -- Marker Quality (float) for each marker. 1.0=Highest Quality, 0.0=Lowest Quality"
comment,"==    -- Mean Error (in mm/marker)"
comment,"== righthanded: Indicates a right-handed coordinate system"
comment,"== lefthanded: Indicates a left-handed coordinate system"
comment,"== "
righthanded
info,framecount,360
info,trackablecount,0
frame,0,0.00242015,0,3,0.16383545,0.21944857,0.31703806,0,0.25682217,-0.06820452,0.28531665,0,0.03038889,0.08568417,0.06844680,0
frame,1,0.01235961,0,3,0.16383344,0.21942703,0.31704119,0,0.25682652,-0.06820956,0.28529266,0,0.03037855,0.08564725,0.06845973,0
frame,2,0.02237326,0,3,0.16384822,0.21942811,0.31705487,0,0.25683334,-0.06820264,0.28529945,0,0.03040973,0.08568146,0.06842452,0
frame,3,0.03229408,0,3,0.16384894,0.21943063,0.31704038,0,0.25682706,-0.06824164,0.28533560,0,0.03041632,0.08567201,0.06842697,0
frame,4,0.04238002,0,3,0.16385758,0.21943349,0.31702462,0,0.25683779,-0.06821652,0.28527033,0,0.03043781,0.08567830,0.06841179,0
frame,5,0.05238725,0,3,0.16386235,0.21942537,0.31702873,0,0.25683147,-0.06825146,0.28529751,0,0.03044191,0.08567533,0.06839281,0
frame,6,0.06241387,0,3,0.16388194,0.21942529,0.31703749,0,0.25682724,-0.06825116,0.28532821,0,0.03046544,0.08569734,0.06837440,0
frame,7,0.07237794,0,3,0.16387543,0.21940514,0.31706545,0,0.25683856,-0.06823869,0.28527543,0,0.03047397,0.08567448,0.06837972,0
frame,8,0.08229325,0,3,0.16389948,0.21942715,0.31705064,0,0.25684160,-0.06824511,0.28528646,0,0.03048734,0.08569493,0.06835242,0
frame,9,0.09237972,0,3,0.16390309,0.21942036,0.31705821,0,0.25681305,-0.06826864,0.28530645,0,0.03048642,0.08570188,0.06832027,0
frame,10,0.10238348,0,3,0.16390140,0.21941280,0.31707337,0,0.25682658,-0.06825018,0.28526962,0,0.03049633,0.08570720,0.06831878,0
frame,11,0.11240685,0,3,0.16392082,0.21942747,0.31702608,0,0.25683254,-0.06824537,0.28523493,0,0.03048776,0.08569647,0.06832729,0
