comment,"NaturalPoint Trackable Export Data"
comment,"== "
comment,"Format Information:"
comment,"== "
comment,"== Data is formatted in rows."
comment,"== First entry of each row identifies row type."
comment,"== "
comment,"== Types:"
comment,"== "
comment,"== comment: Comment, you can ignore this information"
comment,"== info: reports number of trackable definitions and"
comment,"==       total number of exported frames"
comment,"== trackable: Details rigid body definition in the following format:"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Marker Count (integer)"
comment,"==    -- X,Y,Z (float) 3D position of each marker in rigid body"
comment,"== "
comment,"== frame: Details frame of exported data in the following format:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Trackable Count (integer) number of trackables tracked in current frame"
comment,"==    -- Trackable ID, Position, Quaternion Orientation, and Eulers Orientation >for each tracked trackable< (ID, x,y,z, qx, qy, qz, qw, yaw, pitch, roll)"
comment,"==    -- Marker Count (integer) Count of all visibile markers in frame"
comment,"==    -- Marker Detail >for each tracked marker< (x,y,z,id)"
comment,"== trackable: Extended information for current frame:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Frames Since Last Tracked (integer). 0=currently tracked"
comment,"==    -- Marker Count (integer)"
comment,"==    -- Trackable Marker Location >for each marker in trackable< (x,y,z)"
comment,"==    -- Point Cloud Marker corresponding to each trackable marker (x,y,z). (NAN,NAN,NAN) used for missing Point Cloud Markers."
comment,"==    -- Marker Tracked (integer) for each marker. 1=track, 0=untracked."
comment,"==    -- Marker Quality (float) for each marker. 1.0=Highest Quality, 0.0=Lowest Quality"
comment,"==    -- Mean Error (in mm/marker)"
comment,"== righthanded: Indicates a right-handed coordinate system"
comment,"== lefthanded: Indicates a left-handed coordinate system"
comment,"== "
righthanded
info,framecount,7642
info,trackablecount,0
frame,0,0.00813852,0,5,0.41129416,0.25705951,-0.13627334,0,0.47358832,0.72195041,-0.23089428,0,0.34626585,0.01592829,-0.08579398,0,0.43241626,0.47913748,-0.21143325,0,0.31518656,-0.02793903,-0.28109387,0
frame,1,0.01812739,0,5,0.41132846,0.25742730,-0.13207808,0,0.47337270,0.72193277,-0.22877407,0,0.34600097,0.01613026,-0.08131055,0,0.43239108,0.47905636,-0.20786807,0,0.31517324,-0.02796922,-0.27661353,0
frame,2,0.02815207,0,5,0.41123685,0.25778198,-0.12794577,0,0.47316027,0.72190052,-0.22662768,0,0.34604388,0.01649384,-0.07677092,0,0.43232590,0.47912914,-0.20442501,0,0.31522989,-0.02788421,-0.27202195,0
frame,3,0.03808026,0,5,0.41105333,0.25805357,-0.12397627,0,0.47257805,0.72168607,-0.22470970,0,0.34580183,0.01666349,-0.07226025,0,0.43211636,0.47909838,-0.20118710,0,0.31517559,-0.02776071,-0.26745281,0
frame,4,0.04810226,0,5,0.41100892,0.25831527,-0.12017463,0,0.47206578,0.72151506,-0.22298309,0,0.34563956,0.01699846,-0.06773578,0,0.43184766,0.47897416,-0.19822131,0,0.31514621,-0.02779924,-0.26282400,0
frame,5,0.05809023,0,5,0.41072106,0.25847396,-0.11659227,0,0.47158009,0.72129488,-0.22143927,0,0.34548143,0.01718019,-0.06344006,0,0.43147629,0.47883525,-0.19553106,0,0.31520557,-0.02767500,-0.25833872,0
frame,6,0.06809391,0,5,0.41050386,0.25870329,-0.11309642,0,0.47067514,0.72102493,-0.22011718,0,0.34552658,0.01763286,-0.05899853,0,0.43096361,0.47873124,-0.19299494,0,0.31501669,-0.02780968,-0.25392303,0
frame,7,0.07810160,0,5,0.41029459,0.25896120,-0.10958204,0,0.46994281,0.72082853,-0.21893270,0,0.34513623,0.01784816,-0.05472418,0,0.43044958,0.47863698,-0.19049092,0,0.31494963,-0.02781523,-0.24949305,0
frame,8,0.08810606,0,5,0.41009140,0.25936085,-0.10597473,0,0.46896774,0.72059524,-0.21781568,0,0.34509927,0.01821806,-0.05026327,0,0.42990431,0.47858039,-0.18802947,0,0.31505147,-0.02761779,-0.24486820,0
frame,9,0.09814549,0,5,0.40977725,0.25970030,-0.10225330,0,0.46785355,0.72042596,-0.21672180,0,0.34489703,0.01863136,-0.04576993,0,0.42936319,0.47859955,-0.18547891,0,0.31505647,-0.02761990,-0.24025670,0
